date,day,month,year,pm_2_5
2022-07-08,8,7,2022,13.497629870058695
2022-07-09,9,7,2022,9.384263370040726
2022-07-10,10,7,2022,7.859225379231449
2022-07-11,11,7,2022,7.0679658252001145
2022-07-12,12,7,2022,4.972135126378167
2022-07-13,13,7,2022,3.26672484835752
2022-07-14,14,7,2022,5.705318978142331
2022-07-15,15,7,2022,4.776126806761962
2022-07-16,16,7,2022,8.599734933035174
2022-07-17,17,7,2022,14.374605957223926
2022-07-18,18,7,2022,16.737793480471314
2022-07-19,19,7,2022,13.563564121628076
2022-07-20,20,7,2022,11.831623398890072
2022-07-21,21,7,2022,10.644240754818748
2022-07-22,22,7,2022,10.411032463242035
2022-07-23,23,7,2022,10.130917140933676
2022-07-24,24,7,2022,5.80252402116627
2022-07-25,25,7,2022,6.192344739013962
2022-07-26,26,7,2022,8.60413086679441
2022-07-27,27,7,2022,8.17379975359682
2022-07-28,28,7,2022,9.65165371118895
2022-07-29,29,7,2022,15.526597464278888
2022-07-30,30,7,2022,14.26930483623932
2022-07-31,31,7,2022,6.81115929261466
2022-08-01,1,8,2022,6.410800820638049
2022-08-02,2,8,2022,6.268264661298723
2022-08-03,3,8,2022,6.263280787719088
2022-08-04,4,8,2022,6.9279267133374365
2022-08-05,5,8,2022,13.373571287540637
2022-08-06,6,8,2022,9.888160614003604
2022-08-07,7,8,2022,5.636157926170322
2022-08-08,8,8,2022,20.286159122872043
2022-08-09,9,8,2022,22.52052907605312
2022-08-10,10,8,2022,12.688711177328225
2022-08-11,11,8,2022,9.12736722293394
2022-08-12,12,8,2022,12.722133968322543
2022-08-13,13,8,2022,10.611726621764689
2022-08-14,14,8,2022,14.959593983330135
2022-08-15,15,8,2022,12.590941680638066
2022-08-16,16,8,2022,7.840484473183488
2022-08-17,17,8,2022,4.296643911446354
2022-08-18,18,8,2022,5.734421579256838
2022-08-19,19,8,2022,7.154118886952064
2022-08-20,20,8,2022,10.612338656339826
2022-08-21,21,8,2022,3.979033949437017
2022-08-22,22,8,2022,3.1634833717850555
2022-08-23,23,8,2022,4.0354587236018284
2022-08-24,24,8,2022,6.150400896557808
2022-08-25,25,8,2022,5.749718635005083
2022-08-26,26,8,2022,7.007185560786914
2022-08-27,27,8,2022,9.3527458076569
2022-08-28,28,8,2022,6.1299146990414695
